year,GEOID,NAME,popE,popM,median_hhincE,median_hhincM,povertyE,povertyM,pop_povertyE,pop_povertyM,median_rentE,median_rentM,median_homeE,median_homeM,whiteE,whiteM,blackE,blackM,hispanicE,hispanicM,asianE,asianM,foreign_bornE,foreign_bornM,survey,giniE,giniM,unempE,unempM,laborforceE,laborforceM,no_hsE,no_hsM,bachelorsE,bachelorsM,pop_25plusE,pop_25plusM,snapE,snapM,snap_totalE,snap_totalM,no_health_insE,no_health_insM
2009,3603602,"PUMA 03602, New York",166097,229,71735,2053,25432,1878,164206,587,1160,25,445500,5468,106306,1046,23506,930,27391,1064,6898,621,38257,1428,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603701,"PUMA 03701, New York",112393,3076,53463,1839,15898,1532,105178,2244,1019,18,298400,20795,43537,1722,14284,1086,46689,2253,5637,811,35640,1726,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603702,"PUMA 03702, New York",147687,2464,46571,1484,21928,1548,145866,2461,977,16,405600,7771,11795,965,99399,2243,29150,2036,3154,569,53852,1907,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603703,"PUMA 03703, New York",116729,2556,51424,1674,12029,1368,114491,2460,923,23,337500,12517,50996,1679,27462,1222,33479,2056,2613,715,20295,1327,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603704,"PUMA 03704, New York",128336,2708,45202,1863,22929,1735,125222,2600,967,16,437700,7936,38461,1576,26603,1594,51323,2225,9459,1100,41126,1759,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603705,"PUMA 03705, New York",148526,2999,21038,987,60085,2806,143860,2949,749,14,361000,14119,7076,887,49016,1738,89191,2741,1364,351,39681,1774,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603706,"PUMA 03706, New York",126158,2911,30659,1197,37457,2207,123698,2701,943,12,224900,35284,10806,1093,23220,1670,80501,3020,7408,828,49769,2094,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603707,"PUMA 03707, New York",136224,3480,24521,1079,51461,3264,134538,3288,881,14,394200,31791,1946,517,42612,2201,86900,3205,2350,679,52283,1888,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603708,"PUMA 03708, New York",133420,2493,25642,1418,47201,2465,131025,2506,859,11,166200,50525,1845,532,45142,2025,81767,2748,2589,687,51803,2346,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603709,"PUMA 03709, New York",180404,3451,36658,1239,44393,2628,178856,3398,905,11,366200,11787,6701,720,55452,2346,102506,3197,10612,1160,51020,2588,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
